miR,AVG_Intra_FLC
hsa-mir-28-3p_+_2,37.995
hsa-mir-148b-3p,1358.5
hsa-mir-194-2-5p_+_1,171.15
hsa-mir-103a-1-3p_+_1,100.22
hsa-mir-548k,13.79
hsa-mir-320a_+_5,13.935
hsa-mir-103a-2-3p_+_1,100.62
hsa-mir-365a-5p,9.295
hsa-mir-31-5p_+_1,35
hsa-let-7e-5p,1482.81
hsa-mir-182-5p_+_1,73.905
hsa-mir-152_+_1,210.965
hsa-mir-382-3p,5.6
hsa-mir-18a-5p,35.075
hsa-mir-194-2-5p,5591.13
hsa-mir-125b-1-3p,122.35
hsa-mir-374b-3p,13.4
hsa-mir-23a-5p,8.985
hsa-mir-222-3p_-_1,13.035
hsa-mir-128-1_+_1,8.15
hsa-mir-128-2_+_1,8.15
hsa-let-7d-3p,369.105
hsa-mir-15b-5p,71.52
hsa-mir-320d-1_+_1,5.47
hsa-mir-25-3p_+_1,90.01
hsa-mir-26a-1-5p_+_1,274.03
hsa-mir-26a-2-5p_+_1,274.54
hsa-let-7e-5p_+_1,38.805
hsa-mir-582-5p,73.71
hsa-mir-18a-3p,13.28
hsa-mir-24-1-5p_-_1,20.825
hsa-mir-543,9.945
hsa-mir-21-5p,145299.25
hsa-mir-1293_-_3,16.025
hsa-mir-374a-3p,60.565
hsa-mir-30b-3p,83.57
hsa-mir-671-5p,59.46
hsa-mir-140-3p_+_2,94.97
hsa-mir-34a-5p_+_1,195.51
hsa-mir-15a-5p,615.565
hsa-mir-196a-2-5p_+_1,14.3
hsa-mir-128-1,715.3
hsa-mir-100-5p_+_1,8.845
hsa-mir-497-5p,93.705
hsa-mir-146b-5p_+_1,24.32
hsa-mir-7-1-3p,27.83
hsa-mir-664-5p_+_1,38.09
hsa-mir-194-1-5p_+_1,74.79
hsa-mir-151a-5p_+_1,13.89
hsa-mir-130b-5p,27.54
hsa-mir-194-1-5p,2169.64
hsa-mir-10b-5p_+_1,254.03
hsa-mir-15a-5p_+_1,36.51
hsa-mir-10a-3p,19.335
hsa-mir-128-2,679.35
hsa-mir-27b-3p_+_2,32.17
hsa-let-7i-5p_-_1,187.385
hsa-mir-148a-3p_+_2,50.755
hsa-mir-34a-5p_-_1,70.775
hsa-mir-24-2-3p_+_2,39.695
hsa-mir-148b-5p_-_1,123.445
hsa-mir-7-1-3p_+_1,9.655
hsa-mir-200b-5p,42.77
hsa-mir-574-3p,668.52
hsa-mir-3180-1-3p,11.585
hsa-mir-3180-2,11.585
hsa-mir-3180-3-3p,11.585
hsa-mir-3180-4-3p,11.585
hsa-mir-3180-5-3p,11.585
hsa-mir-199b-3p_-_1,878.965
hsa-mir-199a-1-3p_-_1,878.965
hsa-mir-199a-2-3p_-_1,885.235
hsa-mir-374a-5p,77.32
hsa-mir-455-5p_+_2,14.72
hsa-mir-24-1-3p_+_2,40.295
hsa-mir-106a-5p_+_1,15.88
hsa-mir-29b-2-5p,110.885
hsa-mir-127-3p,103.495
hsa-mir-342-5p_+_1,25.24
hsa-mir-378c,43.02
hsa-mir-148a-3p_+_1,153.96
hsa-mir-17-3p,54.19
hsa-mir-106b-5p_+_1,16.4
hsa-mir-148b-3p_+_1,37.31
hsa-mir-425-3p_-_2,20.44
hsa-mir-181b-1-5p_+_1,114.69
hsa-mir-93-5p_+_1,170.985
hsa-mir-221-3p_-_1,39.175
hsa-mir-92a-1-5p,38.24
hsa-mir-210_-_1,57.085
hsa-let-7d-5p_-_1,80.025
hsa-mir-151a-5p_-_1,5.645
hsa-mir-17-5p_+_1,16.63
hsa-mir-106b-3p_+_1,9.205
hsa-mir-627,6.975
hsa-mir-27b-3p,10278.765
hsa-mir-890,83.22
hsa-mir-32-3p,60.715
hsa-mir-181b-2-5p_+_1,144.1
hsa-mir-103a-2-3p_+_2,28.74
hsa-mir-301a-3p,66.98
hsa-mir-21-5p_+_4,51.815
hsa-mir-148a-3p_-_1,53.93
hsa-mir-215_-_1,6.165
hsa-mir-330-3p,13.16
hsa-mir-126-5p_+_1,7.965
hsa-mir-335-3p_-_1,14.98
hsa-mir-135b-5p,32.63
hsa-mir-486-5p,17.98
hsa-mir-106b-5p,314.315
hsa-mir-590-3p,33.71
hsa-mir-125b-2-3p_+_2,34.805
hsa-mir-103a-2-3p,11652.505
hsa-mir-151a-3p,1286.285
hsa-mir-671-5p_+_1,6.875
hsa-mir-99b-5p,432.99
hsa-mir-1306-3p,5.405
hsa-mir-34a-5p,2924.595
hsa-mir-1299,11.55
hsa-mir-3679-5p,6.675
hsa-mir-30a-3p_+_1,244.2
hsa-mir-103a-1-3p,11563.86
hsa-mir-20a-5p_+_1,34.355
hsa-mir-155-5p_+_1,17.05
hsa-mir-1293_-_1,10.575
hsa-mir-103a-1-3p_+_2,28.075
hsa-mir-30e-3p_+_1,15.885
hsa-mir-361-3p,1194.205
hsa-mir-151a-3p_-_1,29.01
hsa-mir-323a-3p,6.7
hsa-mir-320a_+_3,18.11
hsa-mir-3605-3p,22.64
hsa-mir-1295a,34.14
hsa-mir-148a-3p,12363.51
hsa-mir-190b,1173.29
hsa-mir-181a-2-5p_+_1,38.905
hsa-mir-484_-_1,5.105
hsa-mir-21-5p_+_3,19.845
hsa-mir-652-3p_+_1,9.92
hsa-mir-181a-1-5p_+_1,39.005
hsa-mir-199b-5p,10.28
hsa-mir-361-3p_+_1,64.05
hsa-mir-107,2082.245
hsa-mir-185-5p,312.345
hsa-mir-200a-5p,30.495
hsa-let-7i-5p_+_1,514.48
hsa-mir-4516,3.465
hsa-mir-423-5p,3793.71
hsa-mir-33a-5p,25.575
hsa-mir-98_-_1,11.31
hsa-mir-106a-5p,10.08
hsa-mir-30b-5p_+_1,18.02
hsa-mir-25-3p,7161.895
