"","avg_MET","avg_Intra_FLC"
"hsa-mir-374a-3p",460.421203,59.76524504
"hsa-mir-150-5p",7478.626027,0
"hsa-mir-23b-3p",6113.108941,1014.359493
"hsa-mir-30d-5p_+_1",1098.243658,597.9347897
"hsa-mir-15b-5p",909.1001643,70.61189303
"hsa-mir-708-5p",2436.847426,37.30082833
"hsa-mir-10a-5p_-_1",178.2860853,13.97421223
"hsa-mir-214-3p_-_1",798.7988724,35.9701293
"hsa-mir-376a-1-3p",184.0873529,0
"hsa-mir-497-5p",6840.400433,92.52930257
"hsa-mir-1248_+_1",11.76193787,132.7165648
"hsa-let-7b-5p_+_1",1563.580299,402.5029338
"hsa-mir-221-3p_+_1",664.6109426,697.7419586
"hsa-mir-30a-3p",4462.441658,897.2337204
"hsa-mir-152",15471.20572,4260.032746
"hsa-mir-25-5p",103.2415573,40.1940321
"hsa-mir-34a-5p_+_1",943.7296808,194.4692533
"hsa-let-7i-5p_+_1",1567.330692,519.9637653
"hsa-mir-199b-3p_-_1",11531.25051,873.658743
"hsa-mir-199a-2-5p",2332.018746,133.0273484
"hsa-mir-15a-5p",7691.855402,617.5693843
"hsa-mir-155-5p_-_1",151.0106768,0
"hsa-let-7g-5p_+_1",5349.520101,1925.533494
"hsa-mir-25-3p",36341.12649,7210.846987
"hsa-mir-99a-3p",202.1933289,0
"hsa-mir-629-5p",598.9523538,105.197045
"hsa-mir-18a-5p",594.4291628,34.28276146
"hsa-mir-126-3p_+_2",428.4820886,1.274788248
"hsa-mir-126-3p_+_1",11997.51056,42.82188556
"hsa-mir-3605-3p",117.0023846,21.49248012
"hsa-mir-24-1-3p",29942.91068,5280.381593
"hsa-let-7a-1-5p",134996.5725,24400.67986
"hsa-mir-1180",589.2303122,295.5598155
"hsa-mir-125a-5p_+_2",111.8488523,0
"hsa-mir-21-5p_-_1",4521.458072,678.0913066
"hsa-mir-214-3p",2289.083273,146.9423849
"hsa-mir-3609_-_1",178.0108375,34.85725362
"hsa-mir-324-3p_-_2",199.4890721,115.581253
"hsa-mir-106b-3p_-_2",1348.65745,282.5955116
"hsa-mir-106b-3p_-_1",144.8415823,46.11508853
"hsa-mir-193b-5p",100.7303706,55.99143243
"hsa-mir-200c-3p",6783.757748,206.5405892
"hsa-mir-335-5p",1243.430365,59.96955648
"hsa-mir-30e-3p",7503.045767,559.0700733
"hsa-mir-133a-1_+_1",155.0212613,0
"hsa-let-7e-5p",21070.10213,1485.572661
"hsa-mir-320c-1",192.1629623,121.5113942
"hsa-mir-92a-2-3p_+_2",102.4376543,0
"hsa-mir-92a-2-3p_+_1",1947.70274,71.90834648
