"","avg_Intra_FLC","avg_PRI"
"hsa-mir-483-5p",0,132.2667579
"hsa-mir-122-5p",4.064784845,1266952.926
"hsa-mir-122-5p_+_1",0,56366.19749
"hsa-mir-486-5p_+_2",0,252.0598284
"hsa-mir-885-3p",0,819.3515076
"hsa-mir-184",4.430307889,54.4702571
"hsa-mir-148b-3p",1360.504577,9458.339148
"hsa-mir-486-5p",16.73811651,10224.43955
"hsa-mir-1248",2265.812868,208.8411863
"hsa-mir-128-1",713.7814023,6433.16715
"hsa-mir-128-2",677.2957168,5111.14032
"hsa-mir-15a-5p",617.5693843,4630.288658
"hsa-mir-150-5p",0,1800.643144
"hsa-mir-20a-5p",551.9259614,8806.746332
"hsa-let-7i-5p_+_1",519.9637653,2054.835863
"hsa-mir-99a-5p_+_4",8.933534078,91.32621101
"hsa-mir-432-5p",0,1451.943983
"hsa-mir-454-3p",446.6415639,1392.890997
"hsa-mir-197-3p_+_1",0,73.54895142
"hsa-mir-106b-5p",316.3652809,2024.857072
"hsa-mir-185-5p",308.9658165,1647.323644
"hsa-mir-4485_+_1",640.7938905,113.1114211
"hsa-mir-503",287.2620338,975.7013007
"hsa-mir-30b-5p",292.363511,4850.464123
"hsa-mir-24-2-5p_-_1",281.9627659,573.1994551
"hsa-mir-106b-3p_-_2",282.5955116,1299.977136
"hsa-mir-26a-2-5p_+_1",273.5482836,2626.621666
"hsa-mir-26a-1-5p_+_1",273.0567261,2621.121782
"hsa-mir-16-2-5p_+_1",277.2829624,362.3996019
"hsa-mir-16-1-5p_+_1",276.4925099,364.4706699
"hsa-mir-532-3p",280.0228495,559.3325423
"hsa-mir-30a-3p_+_1",245.7228685,1002.344367
"hsa-mir-22-5p",233.8786527,864.390761
"hsa-mir-671-3p",234.8605964,220.1764766
"hsa-mir-1269a",0,156.1286752
"hsa-mir-375",67.50762649,253.7771941
"hsa-mir-152_+_1",210.2808665,342.0808247
"hsa-mir-34a-5p_+_1",194.4692533,1163.916237
"hsa-mir-29b-2-3p",205.1250925,541.673309
"hsa-mir-194-2-3p",192.8715714,392.6082273
"hsa-mir-29b-1-3p",201.6841898,536.6170522
"hsa-let-7i-5p_-_1",187.4765579,762.8957223
"hsa-mir-504_+_1",0.743626478,259.634376
"hsa-mir-93-5p_+_1",171.3632551,410.7398688
"hsa-mir-194-2-5p_+_1",170.5576583,251.8848389
"hsa-mir-218-1-5p",164.621688,1921.505163
"hsa-mir-218-2-5p",163.7385151,1844.257276
"hsa-mir-148a-3p_+_1",152.4441104,430.6921926
"hsa-mir-193b-3p",162.8469491,8422.92539
"hsa-mir-10b-5p",1004.977971,23035.47143
"hsa-mir-215_+_1",145.7300374,576.6234776
"hsa-mir-181b-2-5p_+_1",144.3196688,350.5149535
"hsa-mir-222-3p_+_1",143.7649787,153.5102638
"hsa-mir-214-3p",146.9423849,4147.909476
"hsa-mir-27b-5p",131.8893212,623.6420911
"hsa-mir-194-2-5p",5599.486318,22463.89773
"hsa-mir-148b-5p_-_1",122.1909566,280.5561802
"hsa-mir-324-3p_-_2",115.581253,241.2852172
"hsa-mir-181b-1-5p_+_1",114.541065,262.0246761
"hsa-mir-374b-5p",114.9205611,951.0167684
"hsa-mir-27a-3p_+_1",110.6782582,205.3627778
"hsa-mir-29b-2-5p",109.5726042,355.314927
"hsa-let-7f-2-5p_-_1",109.9637584,398.8782696
"hsa-let-7a-3-5p_-_1",103.4952337,1658.329178
"hsa-mir-103a-2-3p_+_1",99.78012649,191.0372164
"hsa-mir-103a-1-3p_+_1",99.35519708,190.1065326
"hsa-mir-140-3p_+_2",93.9238351,530.0111417
"hsa-mir-497-5p",92.52930257,4810.26618
"hsa-mir-32-5p",91.29784472,427.4794423
"hsa-mir-25-3p_+_1",89.35933946,265.1114558
