miR,avg_NML,avg_PRI,avg_MET,avg_REC
hsa-mir-4532_-_2,4.702748161,0,0,0
hsa-mir-766-5p_+_1,0,1.775067441,0,0
hsa-mir-509-3-3p,2.234336977,0,3.986717424,5.060999207
hsa-mir-885-5p_-_1,5.417833432,1.487792942,0.611294788,0
hsa-mir-4516_-_1,0,0,0.529788816,9.439489162
hsa-mir-374a-3p,371.809358,278.8697549,460.421203,281.0752262
hsa-mir-150-5p,2480.09416,1800.643144,7478.626027,949.6959256
hsa-mir-23b-3p,9589.905451,6965.382282,6113.108941,3428.60439
hsa-mir-512-2-3p,0,0,2.755582922,118.4226822
hsa-mir-193a-3p,51.71334563,92.34447391,42.12866454,48.88883773
hsa-mir-188-5p,32.60333549,87.80941827,82.97175719,87.44687912
hsa-mir-592_-_1,0,0,4.77078936,0
hsa-mir-30d-5p_+_3,5.508416612,1.775067441,0.448282845,0
hsa-mir-30d-5p_+_1,3195.197567,2716.088127,1098.243658,3080.014376
hsa-mir-30d-5p_+_6,19.30727479,4.727157812,7.084473121,13.73016605
hsa-mir-30d-5p_+_7,18.35276821,4.262232075,10.03884291,11.15575992
hsa-mir-30d-5p_+_4,1.314315869,0,0,0
hsa-mir-30d-5p_+_5,1.577179043,0,0.752727326,0
hsa-mir-10b-3p_+_2,11.19171308,47.70708952,78.77329098,84.21484258
hsa-mir-15b-5p,652.4943982,736.2058929,909.1001643,471.3339661
hsa-mir-4791,17.64710827,9.002398691,15.4323801,41.1026851
hsa-mir-874_+_1,47.172466,41.47934437,8.011837745,65.97202518
hsa-mir-516a-2-5p,0,0,2.861893221,39.4742274
hsa-mir-4425,0,0,1.380000097,0
hsa-mir-27a-3p_-_1,19.14891588,34.25665313,32.01594716,9.732690783
hsa-mir-522-5p,0,0,0,10.29762454
hsa-mir-205-5p,13.7333009,13.94344936,41.6213652,0
hsa-mir-29b-1-3p_+_6,4.731537128,7.980728214,3.728118544,0
hsa-mir-3117-3p_+_1,0,2.048154739,2.114794698,0
hsa-mir-663b_+_1,9.024539209,0,0,0
hsa-mir-708-5p,224.8777015,1459.560424,2436.847426,1423.16081
hsa-mir-10a-5p_-_1,230.690069,168.5784889,178.2860853,193.1448686
hsa-mir-1287_+_1,0,0,0.575596191,0
hsa-mir-99b-5p_-_1,1.445747456,2.867416635,2.298288736,0
hsa-mir-214-3p_-_1,983.2371129,1278.387202,798.7988724,996.6972891
hsa-mir-214-3p_-_2,68.68557757,88.0184405,50.82005883,54.89237602
hsa-mir-1185-1-3p,77.34505213,92.40456623,87.76292833,96.67757037
hsa-mir-526b-5p,0,0,2.810787985,63.502018
hsa-mir-376a-1-3p,324.6284087,232.7270899,184.0873529,198.89667
hsa-mir-497-5p,4904.801594,4810.26618,6840.400433,3268.826825
hsa-mir-450a-2-3p_+_1,27.12514263,18.67591638,10.34860931,8.564767889
hsa-mir-1248_+_3,2.32970047,0,2.573570056,9.343383152
hsa-mir-1248_+_1,3.154358086,2.952730452,11.76193787,29.54103165
hsa-mir-320b-2_+_1,35.72838467,97.14187127,57.05605703,163.4482061
hsa-mir-320b-2_+_2,0,4.49012693,2.281173733,0
hsa-let-7b-5p_+_8,0,0,0.686845817,0
hsa-let-7b-5p_+_2,4.461893003,3.280811614,2.766661733,0
hsa-let-7b-5p_+_3,30.01285642,42.68844805,42.13433704,18.6867663
hsa-let-7b-5p_+_1,776.1640271,1521.307463,1563.580299,3928.185597
hsa-let-7b-5p_+_6,64.62935623,65.95504065,46.69184878,38.25654683
hsa-let-7b-5p_+_7,54.62812447,42.85908265,30.4152319,26.80758529
hsa-let-7b-5p_+_4,18.89152264,24.62811543,20.37388665,8.954075521
hsa-mir-365a-3p,239.1123712,189.8477584,50.14487054,61.22081349
hsa-mir-1249_-_1,0,0,0,0
hsa-mir-5589-3p,28.65405736,6.812995264,5.514400785,0
hsa-mir-145-5p_-_1,37.51413103,85.67854085,30.56659888,40.23625677
hsa-mir-644b-5p,18.05181499,29.41023933,17.23390311,19.87956804
hsa-mir-3150b-3p,5.699708974,0,12.18258127,30.89287362
hsa-mir-548at-5p,2.497200151,0,6.670438422,0
hsa-mir-520g_+_1,0,0,0,22.31151984
hsa-mir-221-3p_+_1,275.6130332,515.9037026,664.6109426,1730.764057
hsa-mir-30a-3p,6044.673432,3271.814128,4462.441658,3890.70269
